iter	Passed	Remaining
0	3	3569
1	6	3286
2	9	3138
3	12	3176
4	16	3350
5	20	3349
6	22	3186
7	24	3046
8	26	2961
9	28	2867
10	30	2774
11	33	2746
12	34	2632
13	36	2587
14	38	2552
15	41	2532
16	43	2511
17	45	2483
18	47	2456
19	50	2450
20	52	2428
21	55	2450
22	58	2466
23	60	2464
24	63	2470
25	65	2471
26	68	2475
27	70	2462
28	73	2451
29	75	2435
30	77	2418
31	79	2409
32	81	2394
33	84	2386
34	85	2371
35	88	2359
36	90	2347
37	92	2334
38	94	2321
39	96	2315
40	98	2305
41	100	2295
42	102	2292
43	105	2291
44	108	2293
45	110	2295
46	113	2291
47	115	2282
48	117	2273
49	119	2269
50	121	2261
51	123	2251
52	125	2250
53	128	2247
54	130	2240
55	132	2232
56	134	2227
57	136	2221
58	138	2215
59	140	2208
60	143	2203
61	145	2198
62	147	2196
63	150	2196
64	151	2179
65	153	2173
66	155	2168
67	157	2165
68	160	2162
69	162	2164
70	165	2170
71	168	2169
72	170	2169
73	172	2163
74	175	2159
75	177	2155
76	179	2152
77	181	2146
78	183	2141
79	185	2138
80	188	2133
81	190	2128
82	192	2122
83	194	2121
84	197	2120
85	198	2114
86	200	2109
87	203	2106
88	205	2102
89	207	2098
90	209	2096
91	212	2092
92	214	2088
93	216	2084
94	218	2081
95	220	2077
96	222	2072
97	224	2070
98	227	2066
99	229	2062
100	231	2058
101	233	2056
102	235	2054
103	238	2050
104	240	2048
105	242	2044
106	244	2044
107	247	2046
108	251	2052
109	254	2061
110	257	2066
111	260	2064
112	262	2059
113	264	2059
114	267	2055
115	269	2052
116	271	2049
117	273	2046
118	275	2041
119	277	2038
120	280	2035
121	282	2031
122	284	2028
123	286	2024
124	288	2020
125	290	2016
126	293	2014
127	296	2018
128	299	2019
129	301	2019
130	304	2020
131	307	2022
132	309	2019
133	312	2016
134	314	2013
135	316	2009
136	318	2007
137	320	2003
138	323	2001
139	325	1997
140	327	1994
141	329	1991
142	331	1987
143	333	1984
144	335	1980
145	338	1977
146	340	1973
147	343	1974
148	345	1971
149	347	1967
150	349	1964
151	351	1961
152	353	1957
153	356	1956
154	358	1955
155	361	1955
156	364	1959
157	367	1958
158	369	1956
159	372	1954
160	374	1951
161	376	1947
162	378	1945
163	380	1941
164	383	1938
165	385	1935
166	387	1931
167	389	1930
168	392	1927
169	394	1925
170	396	1921
171	398	1918
172	400	1916
173	403	1913
174	405	1909
175	407	1906
176	409	1903
177	411	1900
178	413	1897
179	415	1893
180	417	1891
181	420	1888
182	422	1885
183	424	1882
184	426	1878
185	428	1875
186	430	1872
187	432	1869
188	434	1866
189	437	1866
190	441	1868
191	444	1871
192	447	1869
193	449	1866
194	451	1864
195	453	1861
196	456	1859
197	458	1858
198	460	1855
199	463	1852
200	465	1850
201	467	1848
202	469	1844
203	471	1841
204	474	1838
205	476	1835
206	478	1832
207	480	1830
208	482	1827
209	485	1824
210	487	1822
211	489	1818
212	491	1816
213	493	1813
214	496	1810
215	498	1808
216	500	1804
217	502	1802
218	504	1799
219	506	1796
220	509	1797
221	512	1795
222	514	1792
223	516	1789
224	518	1787
225	521	1784
226	524	1785
227	527	1784
228	529	1781
229	531	1778
230	533	1776
231	535	1773
232	538	1771
233	541	1773
234	544	1771
235	546	1768
236	548	1765
237	550	1762
238	552	1760
239	555	1759
240	558	1758
241	560	1756
242	562	1753
243	565	1750
244	567	1748
245	569	1746
246	572	1746
247	575	1744
248	577	1741
249	579	1738
250	581	1735
251	583	1732
252	586	1731
253	589	1731
254	591	1728
255	593	1726
256	596	1724
257	598	1721
258	600	1718
259	603	1718
260	606	1717
261	608	1714
262	610	1711
263	612	1708
264	614	1705
265	617	1702
266	619	1701
267	622	1700
268	624	1697
269	626	1694
270	629	1692
271	631	1689
272	633	1686
273	636	1686
274	639	1684
275	642	1684
276	644	1681
277	646	1679
278	648	1676
279	652	1678
280	655	1676
281	657	1674
282	659	1671
283	661	1668
284	665	1668
285	668	1668
286	670	1665
287	672	1662
288	674	1660
289	676	1656
290	678	1653
291	681	1651
292	684	1650
293	687	1650
294	689	1648
295	692	1646
296	695	1645
297	698	1646
298	701	1644
299	704	1642
300	707	1642
301	709	1640
302	716	1649
303	719	1647
304	722	1646
305	726	1648
306	731	1650
307	733	1647
308	736	1647
309	740	1648
310	743	1647
311	746	1646
312	749	1644
313	751	1642
314	753	1639
315	755	1636
316	759	1636
317	762	1635
318	764	1633
319	767	1630
320	770	1629
321	780	1642
322	783	1642
323	785	1639
324	787	1636
325	790	1635
326	795	1636
327	798	1635
328	800	1632
329	802	1630
330	806	1629
331	809	1629
332	813	1628
333	815	1625
334	817	1622
335	820	1621
336	826	1626
337	831	1627
338	833	1625
339	837	1625
340	845	1633
341	848	1632
342	851	1631
343	864	1648
344	873	1658
345	878	1659
346	882	1660
347	895	1677
348	899	1677
349	913	1696
350	917	1696
351	928	1709
352	931	1707
353	944	1722
354	947	1721
355	954	1727
356	960	1730
357	963	1728
358	974	1740
359	977	1738
360	981	1737
361	992	1749
362	995	1747
363	1008	1761
364	1011	1759
365	1015	1759
366	1022	1762
367	1025	1761
368	1028	1759
369	1037	1767
370	1043	1769
371	1052	1777
372	1056	1775
373	1058	1772
374	1060	1768
375	1065	1767
376	1068	1765
377	1071	1763
378	1074	1759
379	1076	1755
380	1078	1752
381	1083	1752
382	1086	1750
383	1088	1746
384	1091	1742
385	1093	1739
386	1096	1737
387	1100	1736
388	1103	1733
389	1105	1729
390	1108	1726
391	1110	1722
392	1113	1720
393	1117	1719
394	1120	1715
395	1122	1711
396	1124	1708
397	1127	1704
398	1129	1701
399	1132	1699
400	1135	1695
401	1137	1692
402	1140	1688
403	1142	1685
404	1145	1683
405	1148	1680
406	1150	1676
407	1153	1673
408	1155	1669
409	1157	1666
410	1160	1662
411	1164	1662
412	1167	1660
413	1170	1656
414	1172	1652
415	1174	1649
416	1178	1646
417	1182	1645
418	1184	1642
419	1186	1638
420	1188	1635
421	1191	1631
422	1196	1632
423	1200	1630
424	1202	1626
425	1204	1622
426	1206	1618
427	1209	1616
428	1214	1615
429	1216	1613
430	1219	1609
431	1221	1605
432	1223	1601
433	1226	1599
434	1230	1597
435	1232	1594
436	1234	1590
437	1237	1587
438	1239	1583
439	1242	1581
440	1246	1579
441	1248	1576
442	1250	1572
443	1253	1569
444	1255	1565
445	1258	1563
446	1262	1562
447	1265	1559
448	1267	1555
449	1269	1551
450	1271	1548
451	1275	1545
452	1278	1543
453	1280	1540
454	1283	1536
455	1285	1533
456	1287	1530
457	1291	1527
458	1294	1525
459	1296	1521
460	1298	1518
461	1300	1514
462	1302	1511
463	1305	1508
464	1309	1507
465	1312	1503
466	1314	1500
467	1316	1496
468	1318	1492
469	1321	1490
470	1324	1488
471	1327	1485
472	1331	1483
473	1354	1502
474	1363	1506
475	1366	1504
476	1370	1502
477	1378	1505
478	1382	1503
479	1402	1519
480	1416	1527
481	1419	1525
482	1424	1525
483	1431	1525
484	1451	1541
485	1465	1550
486	1468	1546
487	1472	1545
488	1476	1542
489	1478	1539
490	1480	1535
491	1488	1537
492	1495	1538
493	1499	1535
494	1501	1531
495	1504	1528
496	1509	1527
497	1511	1523
498	1514	1520
499	1516	1516
500	1518	1512
501	1522	1510
502	1525	1507
503	1528	1504
504	1532	1502
505	1535	1499
506	1538	1495
507	1541	1492
508	1545	1490
509	1548	1488
510	1551	1485
511	1558	1485
512	1561	1482
513	1564	1478
514	1566	1475
515	1568	1471
516	1571	1468
517	1574	1465
518	1577	1461
519	1580	1458
520	1583	1455
521	1585	1452
522	1588	1449
523	1591	1446
524	1594	1442
525	1596	1438
526	1598	1434
527	1600	1430
528	1603	1427
529	1606	1424
530	1608	1420
531	1610	1416
532	1612	1412
533	1614	1409
534	1617	1405
535	1619	1401
536	1621	1397
537	1623	1394
538	1625	1390
539	1627	1386
540	1630	1383
541	1632	1379
542	1634	1375
543	1638	1373
544	1640	1369
545	1643	1366
546	1645	1362
547	1647	1359
548	1649	1355
549	1652	1351
550	1654	1348
551	1656	1344
552	1658	1340
553	1660	1336
554	1662	1333
555	1664	1329
556	1667	1325
557	1669	1322
558	1671	1318
559	1673	1314
560	1675	1311
561	1677	1307
562	1680	1304
563	1682	1300
564	1684	1297
565	1686	1293
566	1689	1290
567	1691	1286
568	1695	1284
569	1698	1281
570	1700	1277
571	1703	1274
572	1705	1270
573	1708	1267
574	1710	1264
575	1712	1260
576	1715	1257
577	1718	1254
578	1722	1252
579	1725	1249
580	1727	1246
581	1730	1242
582	1733	1239
583	1735	1236
584	1737	1232
585	1739	1229
586	1741	1225
587	1743	1221
588	1746	1218
589	1748	1214
590	1750	1211
591	1752	1207
592	1754	1204
593	1756	1200
594	1758	1197
595	1760	1193
596	1763	1190
597	1765	1186
598	1767	1183
599	1769	1179
600	1771	1176
601	1773	1172
602	1776	1169
603	1778	1166
604	1781	1163
605	1783	1159
606	1786	1156
607	1788	1153
608	1790	1149
609	1792	1146
610	1794	1142
611	1796	1139
612	1798	1135
613	1801	1132
614	1803	1128
615	1805	1125
616	1807	1122
617	1810	1118
618	1812	1115
619	1814	1112
620	1816	1108
621	1819	1105
622	1821	1102
623	1824	1099
624	1827	1096
625	1829	1093
626	1831	1089
627	1834	1086
628	1836	1083
629	1838	1079
630	1840	1076
631	1842	1072
632	1844	1069
633	1846	1066
634	1848	1062
635	1850	1059
636	1852	1055
637	1855	1052
638	1857	1049
639	1859	1045
640	1861	1042
641	1864	1039
642	1867	1036
643	1869	1033
644	1872	1030
645	1875	1027
646	1877	1024
647	1879	1021
648	1881	1017
649	1883	1014
650	1886	1011
651	1888	1007
652	1890	1004
653	1892	1001
654	1894	998
655	1896	994
656	1899	991
657	1901	988
658	1903	984
659	1905	981
660	1907	978
661	1909	975
662	1912	972
663	1914	968
664	1916	965
665	1919	962
666	1922	959
667	1925	956
668	1927	953
669	1929	950
670	1931	947
671	1934	944
672	1936	941
673	1939	937
674	1941	934
675	1943	931
676	1945	928
677	1948	925
678	1950	922
679	1952	918
680	1954	915
681	1956	912
682	1958	909
683	1960	905
684	1962	902
685	1965	899
686	1967	896
687	1969	893
688	1971	889
689	1973	886
690	1975	883
691	1977	880
692	1979	877
693	1982	873
694	1984	870
695	1986	867
696	1988	864
697	1990	861
698	1992	858
